2016823158;837;1
2016056993;799;1
2017348423;944;4
2016115094;793;2
2015136716;853;3
2016539704;697;3
2015096254;697;4
2015046602;356;4
2015246359;229;4
2015078271;793;2
2015513541;617;1
2017697145;105;4
2017955188;654;1
2017001660;229;4
2017683116;368;3
2017001660;697;4
2017912879;368;3
2017072286;321;2
2016873510;463;5
2015809614;370;5
2016497874;117;2
2015513541;229;4
2016823158;448;1
2017720962;845;4
2016388571;617;1
2015809614;853;5
2016597140;102;2
2015202444;229;4
2015318865;321;4
2016801628;188;3
2015867306;853;1
2016056993;853;1
2016780439;473;4
2017720962;229;4
2016180568;617;1
2015233439;229;4
2015451936;368;1
2016056993;370;5
2015136716;370;5
2015906560;356;2
2016823158;102;3
2017001660;617;1
2016177213;229;3
2016480863;463;5
2016177213;175;5
2015906560;356;4
2015046602;143;5
2017072286;504;4
2016888461;793;5
2017683116;793;2
2015559893;837;5
2016801628;944;5
2016335915;105;4
2015246359;229;4
2016177213;845;4
2016866038;697;4
2016497874;370;3
2016180568;654;2
2015487102;837;5
2016836008;654;2
2015451936;135;1
2016873510;463;3
2016115094;368;1
2016836008;229;4
2016866038;175;5
2016992229;350;3
2016335915;188;3
2016801628;944;5
2016801628;448;1
2015789683;799;1
2016866038;229;4
2015078271;368;3
2015647679;368;1
2016180568;617;1
2017955188;654;1
2016888461;793;5
2015078271;335;4
2015451936;135;3
2015789683;799;3
2016115094;368;1
2016866038;229;3
2016115094;135;3
2015451936;135;3
2015096254;697;3
2016992229;350;4
2016203307;229;4
2016823158;944;3
2015274099;697;4
2017955188;697;3
2016497874;350;3
2016115094;335;4
2016048940;229;4
2017001660;654;1
2016242380;448;2
2016801628;188;1
2016801628;944;4
2017697145;448;3
2015233439;229;3
2017167155;448;3
2016115094;368;1
2016335915;105;4
2015318865;722;4
2016873510;448;3
2015202444;654;1
2015513541;229;4
2016597140;837;5
2017348423;799;3
2016888461;368;3
2016203307;845;4
2017955188;697;4
2016873510;944;5
2016480863;837;5
2017842422;473;4
2016335915;799;3
2017697145;463;3
2016780439;463;5
2015318865;356;2
2016697129;229;3
2015647679;135;3
2016597140;944;5
2015867306;117;2
2016505800;697;3
2015906560;321;2
2016177213;617;3
2016836008;845;4
2016388571;617;3
2017912879;793;5
2017001660;697;4
2016836008;617;3
2017377655;504;4
2016597140;837;5
2016780439;837;1
2015906560;356;2
2015789683;944;3
2015152082;448;1
2016888461;368;1
2016056993;350;3
2016203307;617;3
2017842422;188;1
2016888461;135;3
2017697145;463;5
2015867306;350;4
2016866038;617;3
2016352406;175;5
2017955188;654;1
2016597140;799;3
2015274099;229;4
2015789683;944;3
2016352406;697;4
2016180568;229;4
2016597140;188;1
2017683116;793;2
2015137795;793;5
2015559893;799;1
2016836008;617;3
2016115094;135;1
2017720962;697;4
2015559893;463;5
2015096254;617;1
2016836008;654;1
2016539704;654;2
2016866038;229;3
2017912879;793;5
2015451936;135;1
2016873510;463;5
2017167155;105;4
2015789683;944;5
2015137795;335;4
2015451936;368;3
2016866038;229;3
2015906560;143;4
2016335915;837;5
2015789683;799;3
2017720962;229;4
2015318865;321;2
2015318865;722;2
2016388571;697;4
2016352406;654;2
2016539704;229;3
2016115094;368;3
2015809614;350;3
2015136716;370;3
2016203307;229;4
2016115094;335;4
2015647679;135;1
2015202444;845;4
2017377655;356;4
2015137795;135;1
2015559893;463;3
2016203307;697;3
2015868348;793;5
2017348423;473;4
2016780439;448;2
2015318865;321;4
2015152082;188;3
2016480863;105;4
2016836008;654;1
2017683116;793;2
2016823158;448;1
2016505800;229;3
2016497874;350;4
2015318865;722;4
2017683116;135;1
2015559893;944;4
2015789683;463;5
2016634769;448;3
2015513541;697;3
2015487102;837;5
2015233439;229;4
2015246359;617;1
2016180568;229;3
2017377655;356;2
2015789683;102;3
2016056993;370;5
2016335915;837;1
2017912879;368;1
2017697145;463;3
2015906560;143;5
2016115094;793;5
2016823158;463;3
2015487102;799;5
2016836008;617;3
2015647679;135;3
2016203307;654;1
2016497874;853;3
2016203307;175;5
2017720962;697;4
2016115094;368;1
2015202444;697;4
2016480863;448;1
2016388571;654;2
2016801628;944;5
2015856707;368;3
2015046602;321;4
2015274099;229;4
2016597140;799;5
2015868348;335;4
2017955188;654;2
2015274099;617;1
2016634769;473;4
2015559893;463;5
2016695429;463;5
2015809614;370;5
2017955188;654;2
2017167155;944;3
2015809614;370;5
2017348423;944;1
2016888461;368;3
2015078271;793;5
2016497874;853;5
2015318865;504;1
2016388571;229;4
2016056993;370;5
2015868348;368;1
2017697145;799;1
2016992229;853;5
2015868348;793;5
2016873510;188;3
2017001660;229;3
2016480863;799;5
2017167155;102;3
2015809614;117;2
2017842422;105;4
2015513541;617;3
2015856707;793;5
2015096254;654;1
2016388571;697;4
2015202444;697;4
2016048940;654;1
2015318865;143;4
2015046602;504;1
2015152082;188;3
2016203307;229;4
2016177213;229;4
2016873510;799;1
2017348423;102;2
