2015647679;135;3;3
2016242380;105;4;3
2016823158;799;1;2
2015096254;229;3;3
2017377655;722;4;3
2015487102;188;3;1
2015078271;793;5;2
2015513541;229;3;3
2015137795;793;5;3
2015789683;448;3;2
2017912879;135;3;2
2015487102;473;4;1
2015274099;229;3;1
2017377655;356;2;2
2016866038;617;3;3
2016823158;944;4;3
2016866038;697;3;1
2017348423;799;1;2
2016801628;837;1;1
2016177213;654;2;2
2015046602;504;1;3
2015046602;504;1;3
2015868348;793;5;1
2015233439;229;4;2
2016695429;944;5;1
2016115094;368;1;3
2016242380;799;1;3
2017697145;448;1;1
2016634769;448;3;2
2016539704;617;3;1
2015046602;143;2;1
2016115094;793;2;1
2016801628;473;4;1
2016695429;102;2;3
2016497874;853;5;1
2015856707;335;4;2
2017720962;845;4;3
2017167155;473;1;2
2015233439;697;4;2
2015809614;350;4;1
2017912879;135;1;3
2015274099;229;3;2
2016242380;188;3;1
2017697145;799;3;2
2016177213;697;4;3
2016866038;229;4;2
2016497874;370;5;3
2016888461;368;1;3
2015513541;229;3;2
2017720962;654;1;3
2016242380;448;3;2
2016992229;350;3;3
2016539704;654;1;2
2016177213;617;3;2
2016505800;697;3;3
2015789683;102;2;1
2016823158;837;1;1
2015906560;356;2;1
2015868348;135;3;1
2017348423;463;3;2
2016497874;370;5;1
2017912879;793;5;1
2016866038;175;5;3
2015856707;793;2;3
2015868348;793;5;2
2016539704;617;1;2
2015906560;722;4;2
2017001660;654;1;1
2015078271;335;4;3
2015246359;697;4;1
2015451936;135;1;1
2015318865;143;4;1
2016203307;654;1;1
2017001660;654;1;3
2017072286;143;2;2
2016823158;799;1;1
2017072286;356;2;2
2017955188;175;5;1
2016505800;654;1;2
2015559893;799;3;3
2015487102;102;3;3
2015202444;697;3;1
2015867306;350;4;2
2016203307;229;3;2
2017912879;135;3;1
2015487102;448;1;1
2016634769;188;3;3
2016888461;335;4;3
2016823158;799;3;3
2017842422;188;3;3
2016597140;944;4;2
2015078271;368;3;1
2017072286;504;1;2
2017167155;448;2;3
2017348423;837;5;1
2016388571;845;4;3
2016115094;368;3;1
2016873510;188;3;2
2017001660;697;3;2
2017697145;188;1;1
2016866038;697;4;3
2017072286;504;4;2
2017683116;135;1;3
2015559893;799;1;1
2015136716;370;3;1
2016352406;697;4;1
2016048940;654;2;2
2016180568;229;4;2
2015559893;944;4;3
2015246359;229;4;2
2015868348;368;3;2
2016634769;944;1;3
2016352406;697;3;3
2016836008;175;5;3
2015867306;853;5;3
2015867306;370;5;1
2016335915;102;2;1
2015096254;229;4;3
2015246359;229;4;2
2015318865;722;4;1
2016539704;617;3;3
2015906560;321;2;2
2017167155;944;1;2
2016866038;617;3;2
2016352406;697;4;3
2016242380;463;3;2
2015856707;368;1;2
2016873510;799;5;3
2015046602;321;2;2
2015096254;845;4;1
2015809614;370;3;3
2017167155;102;3;2
2016335915;944;4;3
2016505800;654;1;1
2016780439;799;3;1
2015246359;697;4;3
2016992229;370;5;2
2017912879;793;2;2
2016497874;853;3;2
2016335915;448;2;3
2016497874;370;5;1
2016242380;944;1;2
2016352406;697;4;1
2015856707;793;2;2
2015559893;188;3;2
2016115094;793;5;1
2017001660;697;4;1
2016866038;229;3;2
2016888461;135;3;3
2016242380;463;3;1
2015152082;105;4;1
2016836008;654;2;2
2015809614;370;3;3
2017167155;463;3;3
2017377655;504;1;3
2017842422;188;1;2
2016695429;463;3;2
2016242380;463;3;2
2016888461;368;3;1
2015137795;135;3;3
2016497874;853;1;2
2016056993;117;2;3
2017697145;799;1;3
2016203307;229;4;2
2016048940;617;1;3
2015246359;697;4;3
2015152082;473;4;1
2015906560;722;4;2
2015856707;368;1;3
2016480863;463;5;2
2016203307;697;3;1
2016388571;617;3;3
2016048940;654;2;1
2017167155;944;3;2
2016505800;654;1;2
2016177213;229;3;2
2016801628;799;5;3
2015078271;793;5;3
2015152082;799;5;2
2016242380;188;3;1
