12;135;3;4782;21;17;0
11;350;4;1386;29;19;2
11;853;1;1561;30;10;2
18;175;5;6969;35;16;2
18;697;4;3353;30;19;2
14;356;4;1082;29;10;2
13;944;5;7550;28;11;0
14;722;2;2673;35;12;0
12;793;5;3605;22;14;1
13;448;3;7550;26;12;1
13;473;4;2292;24;10;0
14;143;4;1082;26;14;0
11;853;5;1386;23;16;1
12;793;2;3605;29;11;1
18;229;4;3353;23;15;2
13;105;4;7550;21;11;2
14;356;2;8532;31;12;3
14;504;1;6538;32;12;2
14;321;4;4509;28;13;0
13;188;3;2292;22;11;3
13;188;1;2292;25;11;3
13;473;4;2292;20;16;1
13;463;3;7550;34;20;3
11;370;5;3537;34;19;2
13;102;2;2292;25;12;2
18;654;1;3060;22;15;2
14;143;5;2673;35;12;2
18;697;3;3019;21;19;2
14;321;2;6538;20;11;2
13;799;1;2008;25;14;2
11;370;3;5797;31;15;3
14;722;4;6538;25;14;2
13;188;3;2008;28;11;0
12;335;4;3605;27;20;1
13;799;5;2292;28;15;0
18;654;2;3019;24;14;0
14;143;2;2673;21;17;2
12;368;1;4782;30;11;2
12;368;3;3741;28;12;3
11;350;4;1561;35;11;3
13;944;1;2008;30;11;0
14;722;4;8532;29;13;3
13;799;3;7550;34;12;0
13;448;2;7550;25;16;0
11;117;2;3537;23;18;2
11;370;5;3537;27;14;2
18;229;3;9342;33;13;2
18;845;4;9342;24;20;3
13;837;5;2008;33;20;1
13;473;1;2008;28;19;1
18;229;4;2755;27;20;3
13;837;1;7550;32;20;2
12;135;1;3741;35;18;1
11;853;3;1386;28;20;2
11;350;3;3537;28;20;3
13;463;5;2008;35;16;1
13;944;3;2292;30;10;0
18;617;1;6969;32;10;3
18;654;1;6969;21;11;0
12;793;5;4545;23;20;2
14;504;1;6538;30;12;3
14;504;4;8532;34;16;0
13;102;3;7550;35;17;2
13;448;1;2008;28;13;0
18;617;3;6969;33;18;2
18;697;4;3060;33;16;2
13;944;4;7550;25;18;0
13;463;5;2292;31;18;2
13;463;3;7550;31;12;3
